angle of actuation,angle of attack,mach number,axial force,normal force

0.0,0.0,0.025,0,0

0.0,0.0,0.05,0,0

0.0,0.0,0.075,1.1638215086647212,0

0.0,0.0,0.1,7.285578728132926,0

0.0,0.0,0.125,11.26349424559966,0

0.0,0.0,0.15,16.07076236556869,0

0.0,0.0,0.175,21.70164194513678,0

0.0,0.0,0.2,28.12362667569801,0

0.0,0.0,0.225,35.33791959515374,0

0.0,0.0,0.25,43.34438423442789,0

0.0,0.0,0.275,52.14644757269171,0

0.0,0.0,0.3,61.71593953714497,0

0.0,0.0,0.325,71.99232405800518,0

0.0,0.0,0.35,83.12683675542458,0

0.0,0.0,0.375,94.94908453119366,0

0.0,0.0,0.4,107.5935028936805,0

0.0,0.0,0.425,121.0620130658065,0

0.0,0.0,0.45,135.2923581187984,0

0.0,0.0,0.475,150.4410898196147,0

0.0,0.0,0.5,166.2588773392332,0

0.0,0.0,0.525,182.9877774107244,0

0.0,0.0,0.55,200.499113197401,0

0.0,0.0,0.575,219.0013799707234,0

0.0,0.0,0.6,238.3133525351688,0

0.0,0.0,0.625,258.6546731525549,0.304820433660197

0.0,0.0,0.65,280.0359319595098,0.3315283973433552

0.0,0.0,0.675,302.5600327405876,0.4504368631689033

0.0,0.0,0.7,326.2427936769586,0.871457137556078

0.0,1.25,0.025,0,10.183058681326202

0.0,1.25,0.05,0,13.949310532554364

0.0,1.25,0.075,0,17.280962051030883

0.0,1.25,0.1,0.04658035262629616,19.99633043588142

0.0,1.25,0.125,8.839154744907153,21.559591195916262

0.0,1.25,0.15,17.458323888993107,21.275075772178138

0.0,1.25,0.175,20.573110465650352,23.876643057989906

0.0,1.25,0.2,25.79218431541891,23.86555770338289

0.0,1.25,0.225,34.501441900692676,24.68737063956622

0.0,1.25,0.25,43.21069948596643,26.34358548610183

0.0,1.25,0.275,52.37335548119575,27.99980033263745

0.0,1.25,0.3,61.90578843765671,33.0887471292626

0.0,1.25,0.325,72.22771509316112,38.82616125612189

0.0,1.25,0.35,83.32501778232526,45.08928706920544

0.0,1.25,0.375,95.20633306187518,51.74321953898679

0.0,1.25,0.4,107.9352625671236,59.03081155371081

0.0,1.25,0.425,121.4715406199968,67.19625328855997

0.0,1.25,0.45,136.15699393247206,75.82127920978154

0.0,1.25,0.475,150.8424472449473,84.44630513100307

0.0,1.25,0.5,166.7411110305227,93.87637308544089

0.0,1.25,0.525,183.4791747836388,103.8689218067629

0.0,1.25,0.55,201.0815266808836,114.4460710466357

