Column mapping:
  timestamp <- 'sensor_timestamp'
  altitude_feet <- 'sensor_altitude_feet'
  accel_icm_x <- 'sensor_accel_icm_x'
  accel_icm_y <- 'sensor_accel_icm_y'
  accel_icm_z <- 'sensor_accel_icm_z'
  accel_bno_x <- 'sensor_accel_bno_x'
  accel_bno_y <- 'sensor_accel_bno_y'
  accel_bno_z <- 'sensor_accel_bno_z'
  gyro_x <- 'sensor_gyro_x'
  gyro_y <- 'sensor_gyro_y'
  gyro_z <- 'sensor_gyro_z'
  quat_w <- 'sensor_quat_w'
  quat_x <- 'sensor_quat_x'
  quat_y <- 'sensor_quat_y'
  quat_z <- 'sensor_quat_z'
time_s,altitude_m,velocity_mps,apogee_prediction_m,status
3.83046,223.602,6.41486,0,ground
3.85075,223.59,1.90431,0,ground
3.86078,223.619,2.14015,0,ground
3.87083,223.624,1.57518,0,ground
3.8817,223.636,1.34916,0,ground
3.89177,223.624,0.665479,0,ground
3.90179,223.638,0.73286,0,ground
3.91213,223.655,0.808114,0,ground
3.92313,223.668,0.775432,0,ground
3.93322,223.658,0.431787,0,ground
3.94359,223.647,0.12116,0,ground
3.95365,223.662,0.204867,0,ground
3.96411,223.654,-0.0100265,0,ground
3.97431,223.635,-0.297902,0,ground
3.98449,223.621,-0.501784,0,ground
3.9947,223.608,-0.672029,0,ground
4.00477,223.587,-0.888154,0,ground
4.01508,223.583,-0.94397,0,ground
4.03588,223.604,-0.833654,0,ground
4.04684,223.603,-0.877265,0,ground
4.05739,223.599,-0.946178,0,ground
4.06774,223.596,-0.99891,0,ground
4.07786,223.59,-1.0701,0,ground
4.08806,223.583,-1.14551,0,ground
4.09836,223.567,-1.26837,0,ground
4.10931,223.571,-1.27199,0,ground
4.11986,223.559,-1.36755,0,ground
4.13012,223.557,-1.40582,0,ground
4.14019,223.562,-1.40885,0,ground
4.15049,223.56,-1.44797,0,ground
4.16054,223.544,-1.55132,0,ground
4.17152,223.532,-1.65151,0,ground
4.19209,223.503,-1.82515,0,ground
4.20257,223.507,-1.83361,0,ground
4.21267,223.498,-1.89234,0,ground
4.22271,223.494,-1.93139,0,ground
4.23282,223.484,-1.99377,0,ground
4.24284,223.481,-2.02861,0,ground
4.25293,223.472,-2.08431,0,ground
4.26305,223.474,-2.10164,0,ground
4.27404,223.468,-2.15219,0,ground
4.28409,223.46,-2.20271,0,ground
4.29509,223.45,-2.26163,0,ground
4.306,223.44,-2.32121,0,ground
4.31684,223.437,-2.35708,0,ground
4.32689,223.426,-2.41522,0,ground
4.33775,223.409,-2.49352,0,ground
4.34814,223.404,-2.53434,0,ground
4.36899,223.378,-2.65702,0,ground
4.37974,223.366,-2.71361,0,ground
4.39015,223.356,-2.76699,0,ground
4.40058,223.351,-2.8044,0,ground
4.41119,223.337,-2.86503,0,ground
4.42182,223.332,-2.90301,0,ground
4.43223,223.322,-2.95353,0,ground
4.44248,223.306,-3.01772,0,ground
4.45279,223.294,-3.07189,0,ground
4.46286,223.284,-3.11953,0,ground
4.47384,223.273,-3.18914,0,ground
4.49456,223.232,-3.33284,0,ground
4.50503,223.217,-3.3896,0,ground
4.51505,223.208,-3.43262,0,ground
4.52509,223.202,-3.46838,0,ground
4.53592,223.187,-3.52479,0,ground
4.54598,223.177,-3.56801,0,ground
4.55698,223.165,-3.61925,0,ground
4.56782,223.15,-3.67422,0,ground
4.60419,223.046,-3.96082,0,ground
4.61505,223.039,-3.99696,0,ground
4.6255,223.038,-4.02283,0,ground
4.63576,223.034,-4.0533,0,ground
4.64581,223.027,-4.08816,0,ground
4.65594,223.022,-4.12048,0,ground
4.66596,223.015,-4.15627,0,ground
4.67613,223.007,-4.19545,0,ground
4.68713,222.996,-4.24016,0,ground
4.69718,222.986,-4.28171,0,ground
4.70815,222.971,-4.33457,0,ground
4.719,222.955,-4.38677,0,ground
4.72986,222.943,-4.43338,0,ground
4.73992,222.932,-4.47506,0,ground
4.74998,222.921,-4.53461,0,ground
4.77342,222.849,-4.70931,0,ground
4.78344,222.845,-4.73903,0,ground
4.7944,222.835,-4.77985,0,ground
4.80514,222.825,-4.82161,0,ground
4.81527,222.814,-4.87978,0,ground
4.83649,222.748,-5.03116,0,ground
4.84716,222.737,-5.07115,0,ground
4.85759,222.72,-5.12059,0,ground
4.86761,222.712,-5.15518,0,ground
4.87852,222.7,-5.19881,0,ground
4.88856,222.688,-5.23881,0,ground
4.89954,222.673,-5.28664,0,ground
4.9096,222.662,-5.32577,0,ground
4.92024,222.647,-5.37064,0,ground
4.93058,222.637,-5.41022,0,ground
4.94144,222.619,-5.45977,0,ground
4.95243,222.599,-5.51267,0,ground
4.96291,222.584,-5.55841,0,ground
4.97297,222.572,-5.59821,0,ground
4.98305,222.556,-5.64383,0,ground
4.99314,222.54,-5.68855,0,ground
5.00402,222.523,-5.73707,0,ground
5.01502,222.505,-5.78605,0,ground
5.02514,222.487,-5.83299,0,ground
5.03616,222.467,-5.88395,0,ground
5.04672,222.446,-5.93621,0,ground
5.0571,222.431,-5.98,0,ground
5.06728,222.412,-6.02743,0,ground
5.07827,222.39,-6.08012,0,ground
5.08891,222.37,-6.13022,0,ground
5.09908,222.351,-6.17714,0,ground
5.1114,222.319,-6.24478,0,ground
5.12154,222.302,-6.28939,0,ground
5.13187,222.281,-6.33854,0,ground
5.14231,222.264,-6.38244,0,ground
5.1525,222.246,-6.42734,0,ground
5.1635,222.225,-6.47824,0,ground
5.174,222.203,-6.5281,0,ground
5.18432,222.185,-6.57339,0,ground
5.19452,222.164,-6.62074,0,ground
5.20487,222.143,-6.66884,0,ground
5.21497,222.126,-6.71152,0,ground
5.2259,222.096,-6.7702,0,ground
5.23638,222.075,-6.81783,0,ground
5.24664,-50.5176,-301.384,0,ground
5.2569,-45.2454,-292.506,0,ground
5.26788,-40.3103,-283.921,0,ground
5.28864,-38.0122,-275.492,0,ground
5.29877,-32.8487,-267.262,0,ground
5.30911,-27.8822,-259.318,0,ground
5.31913,-22.9745,-251.648,0,ground
5.33013,-18.4246,-244.231,0,ground
5.34075,-13.8987,-237.056,0,ground
5.35097,-9.39366,-230.118,0,ground
5.36135,-5.04072,-223.406,0,ground
5.37232,-0.919768,-216.913,0,ground
5.38238,3.29008,-210.627,0,ground
5.39338,7.21068,-204.54,0,ground
5.40432,11.058,-198.639,0,ground
5.41529,14.8189,-192.917,0,ground
5.42563,18.61,-187.369,0,ground
5.43613,22.2807,-181.996,0,ground
5.44634,25.916,-176.788,0,ground
5.45667,29.4454,-171.743,0,ground
5.46671,32.9394,-166.851,0,ground
5.47764,36.2129,-162.11,0,ground
5.48816,39.4796,-157.508,0,ground
5.49838,42.7197,-153.041,0,ground
5.50885,45.852,-148.706,0,ground
5.51965,-110.226,-292.807,0,ground
5.53022,-104.689,-284.902,0,ground
5.54047,-99.1807,-277.218,0,ground
5.55071,-93.7848,-269.752,0,ground
5.56111,-88.5478,-262.497,0,ground
5.57197,-83.5325,-255.442,0,ground
5.58268,-78.571,-248.572,0,ground
5.59281,-73.569,-241.887,0,ground
5.60296,-68.6797,-235.406,0,ground
5.62433,-66.3288,-229.044,0,ground
5.63434,-61.4145,-222.754,0,ground
5.64442,-56.6258,-216.643,0,ground
5.65542,-52.1232,-210.699,0,ground
5.66548,-47.519,-204.912,0,ground
5.67569,-43.0436,-199.286,0,ground
5.68593,-38.6659,-193.813,0,ground
5.6962,-34.3843,-188.488,0,ground
5.70697,-30.2767,-183.306,0,ground
5.71702,-26.1188,-178.257,0,ground
5.72775,-22.1577,-173.342,0,ground
5.73833,-18.2448,-168.552,0,ground
5.74849,-14.3401,-163.886,0,ground
5.75854,-10.4947,-159.343,0,ground
5.76923,-6.81806,-154.918,0,ground
5.78009,-3.23231,-150.604,0,ground
5.79045,0.365791,-146.394,0,ground
5.80076,3.90433,-142.291,0,ground
5.81105,7.3782,-138.292,0,ground
5.82182,10.7293,-134.395,0,ground
5.83255,14.0313,-130.589,0,ground
5.84279,17.3362,-126.876,0,ground
