Column mapping:
  timestamp <- 'sensor_timestamp'
  altitude_feet <- 'sensor_altitude_feet'
  accel_icm_x <- 'sensor_accel_icm_x'
  accel_icm_y <- 'sensor_accel_icm_y'
  accel_icm_z <- 'sensor_accel_icm_z'
  accel_bno_x <- 'sensor_accel_bno_x'
  accel_bno_y <- 'sensor_accel_bno_y'
  accel_bno_z <- 'sensor_accel_bno_z'
  gyro_x <- 'sensor_gyro_x'
  gyro_y <- 'sensor_gyro_y'
  gyro_z <- 'sensor_gyro_z'
  quat_w <- 'sensor_quat_w'
  quat_x <- 'sensor_quat_x'
  quat_y <- 'sensor_quat_y'
  quat_z <- 'sensor_quat_z'
time_s,altitude_m,velocity_mps,apogee_prediction_m,status,horizontal_velocity_mps
3.83046,223.602,6.66688,0,ground,0.0915281
3.85075,223.591,2.17787,0,ground,0.15525
3.86078,223.621,2.40627,0,ground,0.186297
3.87083,223.627,1.86497,0,ground,0.199318
3.8817,223.639,1.65389,0,ground,0.233407
3.89177,223.627,0.988995,0,ground,0.264969
3.90179,223.642,1.0818,0,ground,0.296156
3.91213,223.66,1.18868,0,ground,0.328317
3.92313,223.674,1.19364,0,ground,0.362459
3.93322,223.666,0.884338,0,ground,0.394023
3.94359,223.655,0.611852,0,ground,0.42616
3.95365,223.672,0.733275,0,ground,0.457532
3.96411,223.666,0.559697,0,ground,0.49003
3.97431,223.649,0.311747,0,ground,0.521677
3.98449,223.637,0.148632,0,ground,0.553426
3.9947,223.626,0.0200187,0,ground,0.58546
4.00477,223.607,-0.155063,0,ground,0.617041
4.01508,223.605,-0.167797,0,ground,0.649297
4.03588,223.635,0.0571651,0,ground,0.714163
4.04684,223.637,0.0489355,0,ground,0.748217
4.05739,223.634,0.0161964,0,ground,0.781122
4.06774,223.634,0.000784052,0,ground,0.813248
4.07786,223.63,-0.0323497,0,ground,0.844889
4.08806,223.626,-0.0674496,0,ground,0.876688
4.09836,223.613,-0.148002,0,ground,0.908718
4.10931,223.622,-0.103538,0,ground,0.943099
4.11986,223.613,-0.154378,0,ground,0.976061
4.13012,223.615,-0.149664,0,ground,1.00815
4.14019,223.624,-0.110837,0,ground,1.03963
4.15049,223.627,-0.106053,0,ground,1.07184
4.16054,223.615,-0.161327,0,ground,1.1054
4.17152,223.609,-0.182859,0,ground,1.12438
4.19209,223.599,-0.22032,0,ground,1.18877
4.20257,223.606,-0.18634,0,ground,1.22488
4.21267,223.601,-0.204193,0,ground,1.25865
4.22271,223.602,-0.201794,0,ground,1.29192
4.23282,223.596,-0.220783,0,ground,1.32555
4.24284,223.598,-0.212221,0,ground,1.35859
4.25293,223.595,-0.222866,0,ground,1.39228
4.26305,223.603,-0.194436,0,ground,1.42595
4.27404,223.603,-0.191811,0,ground,1.46239
4.28409,223.602,-0.197278,0,ground,1.49577
4.29509,223.6,-0.202863,0,ground,1.53222
