time_s,altitude_m,velocity_mps,apogee_prediction_m,status
594.35,199.729,-0.840584,0,ground
594.35,199.729,-0.840422,0,ground
594.35,199.729,-0.840173,0,ground
594.351,199.73,-0.839913,0,ground
594.357,199.725,-0.843439,0,ground
594.357,199.725,-0.84321,0,ground
594.357,199.726,-0.842943,0,ground
594.357,199.726,-0.842717,0,ground
594.358,199.726,-0.842452,0,ground
594.358,199.727,-0.842226,0,ground
594.358,199.727,-0.842002,0,ground
594.359,199.727,-0.841737,0,ground
594.359,199.727,-0.841513,0,ground
594.359,199.728,-0.841289,0,ground
594.359,199.728,-0.841026,0,ground
594.36,199.728,-0.840803,0,ground
594.36,199.728,-0.840541,0,ground
594.36,199.729,-0.840278,0,ground
594.361,199.729,-0.840097,0,ground
594.361,199.729,-0.839882,0,ground
594.365,199.727,-0.841941,0,ground
594.365,199.727,-0.841723,0,ground
594.365,199.727,-0.841463,0,ground
594.365,199.727,-0.841246,0,ground
594.366,199.728,-0.841069,0,ground
594.366,199.728,-0.840852,0,ground
594.366,199.728,-0.84058,0,ground
594.367,199.729,-0.840308,0,ground
594.367,199.729,-0.840078,0,ground
594.367,199.729,-0.839848,0,ground
594.367,199.729,-0.839619,0,ground
594.368,199.73,-0.839348,0,ground
594.368,199.73,-0.839079,0,ground
594.368,199.73,-0.838851,0,ground
594.369,199.731,-0.838623,0,ground
594.369,199.731,-0.838396,0,ground
594.369,199.731,-0.838128,0,ground
594.369,199.731,-0.83786,0,ground
594.37,199.732,-0.837676,0,ground
594.37,199.732,-0.837409,0,ground
594.37,199.732,-0.837183,0,ground
594.37,199.733,-0.836917,0,ground
594.371,199.733,-0.836652,0,ground
594.371,199.733,-0.836466,0,ground
594.377,199.729,-0.839832,0,ground
594.377,199.729,-0.839599,0,ground
594.377,199.729,-0.839325,0,ground
594.378,199.73,-0.839133,0,ground
594.378,199.73,-0.83886,0,ground
594.378,199.73,-0.838588,0,ground
594.378,199.731,-0.838356,0,ground
594.379,199.731,-0.838085,0,ground
594.379,199.731,-0.837895,0,ground
594.379,199.731,-0.837624,0,ground
594.38,199.732,-0.837354,0,ground
594.38,199.732,-0.837125,0,ground
594.38,199.732,-0.836896,0,ground
594.38,199.733,-0.836667,0,ground
594.381,199.733,-0.836399,0,ground
594.381,199.733,-0.83613,0,ground
594.385,199.73,-0.838788,0,ground
594.389,199.728,-0.840576,0,ground
594.389,199.728,-0.840344,0,ground
594.389,199.728,-0.840071,0,ground
594.39,199.729,-0.839882,0,ground
594.39,199.729,-0.839609,0,ground
594.39,199.729,-0.839336,0,ground
594.39,199.73,-0.839107,0,ground
594.391,199.73,-0.838877,0,ground
594.391,199.73,-0.838648,0,ground
594.391,199.73,-0.838377,0,ground
594.392,199.731,-0.838107,0,ground
594.392,199.731,-0.837879,0,ground
594.392,199.731,-0.837652,0,ground
594.392,199.732,-0.837383,0,ground
594.393,199.732,-0.837157,0,ground
594.393,199.732,-0.836889,0,ground
594.393,199.732,-0.836663,0,ground
594.394,199.733,-0.836438,0,ground
594.394,199.733,-0.836171,0,ground
594.394,199.733,-0.835947,0,ground
594.394,199.734,-0.835681,0,ground
594.395,199.734,-0.835499,0,ground
594.395,199.734,-0.835234,0,ground
594.395,199.735,-0.834969,0,ground
594.396,199.735,-0.834738,0,ground
594.399,199.733,-0.836441,0,ground
594.399,199.733,-0.836206,0,ground
594.399,199.733,-0.835932,0,ground
594.4,199.733,-0.835698,0,ground
594.4,199.734,-0.835425,0,ground
594.4,199.734,-0.835192,0,ground
594.4,199.734,-0.83496,0,ground
594.401,199.735,-0.834688,0,ground
594.401,199.735,-0.834456,0,ground
594.401,199.735,-0.834225,0,ground
594.402,199.736,-0.833954,0,ground
594.402,199.736,-0.833724,0,ground
594.402,199.736,-0.833454,0,ground
594.402,199.736,-0.833225,0,ground
594.403,199.737,-0.832996,0,ground
594.403,199.737,-0.832727,0,ground
594.403,199.737,-0.832499,0,ground
594.404,199.738,-0.832231,0,ground
594.404,199.738,-0.831963,0,ground
594.404,199.738,-0.831776,0,ground
594.404,199.738,-0.83151,0,ground
594.405,199.739,-0.831283,0,ground
594.405,199.739,-0.831017,0,ground
594.405,199.739,-0.830792,0,ground
594.406,199.739,-0.830567,0,ground
594.406,199.74,-0.830364,0,ground
594.409,199.737,-0.832142,0,ground
594.409,199.738,-0.831895,0,ground
594.41,199.738,-0.831688,0,ground
594.41,199.738,-0.831443,0,ground
594.41,199.738,-0.831197,0,ground
594.411,199.739,-0.831032,0,ground
594.411,199.739,-0.830787,0,ground
594.411,199.739,-0.830543,0,ground
594.411,199.739,-0.830339,0,ground
594.412,199.74,-0.830095,0,ground
594.412,199.74,-0.829931,0,ground
594.412,199.74,-0.829688,0,ground
594.412,199.74,-0.829446,0,ground
594.413,199.741,-0.829244,0,ground
594.413,199.741,-0.829002,0,ground
594.413,199.741,-0.82884,0,ground
594.414,199.741,-0.828599,0,ground
594.414,199.742,-0.828359,0,ground
594.414,199.742,-0.828158,0,ground
594.414,199.742,-0.827958,0,ground
594.415,199.742,-0.827758,0,ground
594.415,199.743,-0.827519,0,ground
594.415,199.743,-0.82732,0,ground
594.416,199.743,-0.827121,0,ground
594.416,199.743,-0.826962,0,ground
594.419,199.741,-0.828546,0,ground
594.419,199.742,-0.828305,0,ground
594.42,199.742,-0.828064,0,ground
594.42,199.742,-0.827903,0,ground
594.42,199.742,-0.827663,0,ground
594.42,199.743,-0.827463,0,ground
594.421,199.743,-0.827224,0,ground
594.421,199.743,-0.827025,0,ground
594.421,199.743,-0.826826,0,ground
594.422,199.744,-0.826588,0,ground
594.422,199.744,-0.82639,0,ground
594.422,199.744,-0.826152,0,ground
594.422,199.744,-0.825955,0,ground
594.423,199.744,-0.825758,0,ground
594.423,199.745,-0.825521,0,ground
594.423,199.745,-0.825325,0,ground
594.424,199.745,-0.82509,0,ground
594.424,199.745,-0.824894,0,ground
594.424,199.746,-0.824699,0,ground
594.424,199.746,-0.824464,0,ground
594.425,199.746,-0.82423,0,ground
594.425,199.746,-0.824075,0,ground
594.425,199.747,-0.823842,0,ground
594.426,199.747,-0.823649,0,ground
594.426,199.747,-0.823455,0,ground
594.426,199.747,-0.823229,0,ground
594.429,199.745,-0.824771,0,ground
594.43,199.746,-0.824541,0,ground
594.437,199.74,-0.82906,0,ground
594.44,199.738,-0.830706,0,ground
594.44,199.738,-0.830482,0,ground
594.441,199.739,-0.830215,0,ground
594.441,199.739,-0.829989,0,ground
594.441,199.739,-0.829764,0,ground
594.441,199.739,-0.829498,0,ground
594.442,199.74,-0.829274,0,ground
594.442,199.74,-0.829009,0,ground
594.442,199.74,-0.828785,0,ground
594.443,199.741,-0.828562,0,ground
594.443,199.741,-0.828299,0,ground
594.443,199.741,-0.828035,0,ground
594.443,199.741,-0.827855,0,ground
594.444,199.742,-0.827592,0,ground
594.444,199.742,-0.827371,0,ground
594.444,199.742,-0.827109,0,ground
594.444,199.743,-0.826848,0,ground
594.445,199.743,-0.826669,0,ground
594.445,199.743,-0.826409,0,ground
594.445,199.743,-0.82619,0,ground
594.446,199.744,-0.825971,0,ground
594.446,199.744,-0.825795,0,ground
594.446,199.744,-0.825535,0,ground
594.447,199.744,-0.825318,0,ground
594.447,199.745,-0.82506,0,ground
594.447,199.745,-0.824776,0,ground
594.45,199.743,-0.826478,0,ground
594.451,199.743,-0.826191,0,ground
594.451,199.744,-0.825945,0,ground
594.451,199.744,-0.825659,0,ground
594.451,199.744,-0.825457,0,ground
594.452,199.745,-0.825171,0,ground
594.452,199.745,-0.824887,0,ground
594.452,199.745,-0.824644,0,ground
594.452,199.746,-0.82436,0,ground
594.453,199.746,-0.824159,0,ground
594.453,199.746,-0.823876,0,ground
594.453,199.747,-0.823593,0,ground
594.454,199.747,-0.823353,0,ground
594.454,199.747,-0.823071,0,ground
594.454,199.747,-0.822873,0,ground
594.454,199.748,-0.822592,0,ground
594.455,199.748,-0.822311,0,ground
594.455,199.748,-0.822073,0,ground
594.455,199.749,-0.821834,0,ground
594.456,199.749,-0.821597,0,ground
594.456,199.749,-0.821359,0,ground
594.456,199.749,-0.821122,0,ground
594.456,199.75,-0.820844,0,ground
594.457,199.75,-0.820608,0,ground
594.457,199.75,-0.820372,0,ground
594.457,199.751,-0.820085,0,ground
594.46,199.749,-0.821593,0,ground
594.461,199.749,-0.821342,0,ground
594.461,199.749,-0.821091,0,ground
594.461,199.75,-0.820803,0,ground
594.462,199.75,-0.820553,0,ground
594.462,199.75,-0.820266,0,ground
594.462,199.751,-0.820017,0,ground
594.462,199.751,-0.819769,0,ground
594.463,199.751,-0.819483,0,ground
594.463,199.751,-0.819235,0,ground
594.463,199.752,-0.819027,0,ground
594.464,199.752,-0.818742,0,ground
594.464,199.752,-0.818457,0,ground
594.464,199.753,-0.818212,0,ground
594.464,199.753,-0.817928,0,ground
594.465,199.753,-0.817722,0,ground
594.465,199.754,-0.817439,0,ground
594.465,199.754,-0.817195,0,ground
594.466,199.754,-0.816912,0,ground
594.466,199.754,-0.816747,0,ground
594.466,199.755,-0.816465,0,ground
594.466,199.755,-0.816223,0,ground
594.467,199.755,-0.815942,0,ground
594.467,199.756,-0.815661,0,ground
594.467,199.756,-0.815459,0,ground
594.468,199.756,-0.815163,0,ground
594.471,199.754,-0.816928,0,ground
594.471,199.754,-0.816669,0,ground
594.471,199.755,-0.816369,0,ground
