time_s,altitude_m,velocity_mps,apogee_prediction_m,status
210.009,59.985,1.77902,0,ground
210.021,96.934,2.3304,0,ground
210.032,144.207,2.82135,0,ground
210.042,199.748,3.29101,0,ground
210.052,229.18,3.74832,0,ground
210.063,244.454,4.20906,0,ground
210.083,270.064,5.11749,0,ground
210.093,267.014,5.56793,0,ground
210.103,263.354,6.01837,0,ground
210.113,260.691,6.47499,0,ground
210.161,292.354,8.61801,0,ground
210.171,281.151,9.10141,0,ground
210.203,285.101,10.531,0,ground
210.213,274.061,10.9965,0,ground
210.224,265.539,11.4642,0,ground
210.235,260.065,11.9558,0,ground
210.245,255.965,12.4083,0,ground
210.267,255.689,13.4177,0,ground
210.277,252.333,13.8702,0,ground
210.288,249.909,14.3501,0,ground
210.298,247.971,14.826,0,ground
210.32,248.129,15.7777,0,ground
210.351,249.246,17.1825,0,ground
210.361,246.757,17.6412,0,ground
210.372,244.936,18.137,0,ground
210.383,243.426,18.6108,0,ground
210.393,242.138,19.0715,0,ground
210.403,241.059,19.5267,0,ground
210.413,240.15,19.9841,0,ground
210.423,239.385,20.4475,0,ground
210.434,238.745,20.9158,0,ground
210.445,238.221,21.402,0,ground
210.455,237.712,21.8723,0,ground
210.465,237.229,22.3276,0,ground
210.476,236.821,22.7931,0,ground
210.487,236.488,23.2882,0,ground
210.497,236.17,23.775,0,ground
210.508,235.869,24.2591,0,ground
210.518,235.534,24.7116,0,ground
210.529,235.297,25.2074,0,ground
210.539,235.015,25.6633,0,ground
210.56,235.327,26.5882,0,ground
210.571,235.016,27.0695,0,ground
210.581,234.748,27.5564,0,ground
210.592,234.488,28.0446,0,ground
210.613,234.688,28.9654,0,ground
210.623,234.366,29.4268,0,ground
210.634,234.101,29.9212,0,ground
210.644,233.83,30.3915,0,ground
210.666,234.042,31.3769,0,ground
210.677,233.741,31.85,0,ground
210.688,233.474,32.3161,0,ground
210.709,233.594,32.9892,0,ground
210.719,233.292,33.2306,0,ground
210.729,233.003,33.3957,0,ground
210.74,232.751,33.4989,0,ground
210.75,232.517,33.5422,0,ground
210.76,232.297,33.5307,0,ground
210.772,232.119,33.4644,0,ground
210.782,231.931,33.3598,0,ground
210.792,231.747,33.2182,0,ground
210.802,231.567,33.0437,0,ground
210.812,231.407,32.8371,0,ground
210.822,231.252,32.6007,0,ground
210.843,231.363,32.0902,0,ground
210.854,231.209,31.7976,0,ground
210.864,231.053,31.4995,0,ground
210.875,230.914,31.1765,0,ground
210.885,230.771,30.8469,0,ground
210.906,230.868,30.1524,0,ground
