time_s,altitude_m,velocity_mps,apogee_prediction_m,status
210.009,223.792,6.68882,0,ground
210.021,223.783,3.90078,0,ground
210.032,223.907,6.9264,0,ground
210.042,223.87,3.24693,0,ground
210.052,223.842,1.50284,0,ground
210.063,223.782,-0.356212,0,ground
210.083,223.731,-1.16985,0,ground
210.093,223.758,-0.558544,0,ground
210.103,223.833,0.624011,0,ground
210.113,223.822,0.393335,0,ground
210.161,223.821,0.193184,0,ground
210.171,223.859,0.481575,0,ground
210.203,223.873,0.456751,0,ground
210.213,223.898,0.584228,0,ground
210.224,223.885,0.463183,0,ground
210.235,223.871,0.342739,0,ground
210.245,223.865,0.283983,0,ground
210.267,223.841,0.108695,0,ground
210.277,223.851,0.148251,0,ground
210.288,223.843,0.0925767,0,ground
210.298,223.823,-0.0120034,0,ground
210.32,223.819,-0.0404553,0,ground
210.351,223.803,-0.120303,0,ground
210.361,223.786,-0.186645,0,ground
210.372,223.788,-0.179689,0,ground
210.383,223.803,-0.120199,0,ground
210.393,223.793,-0.159179,0,ground
210.403,223.788,-0.180707,0,ground
210.413,223.777,-0.219063,0,ground
210.423,223.765,-0.256241,0,ground
210.434,223.77,-0.237848,0,ground
210.445,223.778,-0.209132,0,ground
210.455,223.775,-0.218083,0,ground
210.465,223.77,-0.234592,0,ground
210.476,223.774,-0.21997,0,ground
210.487,223.769,-0.235067,0,ground
210.497,223.768,-0.236568,0,ground
210.508,223.768,-0.238077,0,ground
210.518,223.758,-0.266017,0,ground
210.529,223.761,-0.254568,0,ground
210.539,223.759,-0.254851,0,ground
210.56,223.754,-0.26768,0,ground
210.571,223.749,-0.280569,0,ground
210.581,223.757,-0.257745,0,ground
210.592,223.754,-0.263893,0,ground
210.613,223.743,-0.29173,0,ground
210.623,223.746,-0.284665,0,ground
210.634,223.747,-0.281892,0,ground
210.644,223.747,-0.280618,0,ground
210.666,223.748,-0.277747,0,ground
210.677,223.746,-0.282117,0,ground
210.688,223.738,-0.296007,0,ground
210.709,223.731,-0.309135,0,ground
210.719,223.735,-0.300795,0,ground
210.729,223.733,-0.304921,0,ground
210.74,223.734,-0.301705,0,ground
210.75,223.731,-0.305186,0,ground
210.76,223.73,-0.305895,0,ground
210.772,223.728,-0.311672,0,ground
210.782,223.732,-0.304118,0,ground
210.792,223.734,-0.300592,0,ground
210.802,223.731,-0.305801,0,ground
210.812,223.735,-0.299153,0,ground
210.822,223.733,-0.300186,0,ground
210.843,223.729,-0.308552,0,ground
210.854,223.726,-0.314622,0,ground
210.864,223.726,-0.314856,0,ground
210.875,223.73,-0.308245,0,ground
210.885,223.73,-0.309461,0,ground
210.906,223.722,-0.325217,0,ground
210.916,223.722,-0.327309,0,ground
210.927,223.72,-0.330667,0,ground
210.948,223.715,-0.341189,0,ground
210.959,223.709,-0.351267,0,ground
210.969,223.71,-0.351202,0,ground
210.979,223.709,-0.354184,0,ground
210.989,223.708,-0.355397,0,ground
211,223.71,-0.354786,0,ground
211.01,223.708,-0.358124,0,ground
211.031,223.701,-0.371096,0,ground
211.042,223.702,-0.369392,0,ground
211.054,223.698,-0.377236,0,ground
211.065,223.698,-0.378732,0,ground
211.087,223.698,-0.380689,0,ground
211.098,223.702,-0.375066,0,ground
211.108,223.702,-0.376786,0,ground
211.118,223.696,-0.381596,0,ground
211.138,223.691,-0.389554,0,ground
211.148,223.693,-0.387819,0,ground
211.158,223.697,-0.384562,0,ground
211.168,223.696,-0.386829,0,ground
211.179,223.696,-0.388222,0,ground
211.19,223.695,-0.389956,0,ground
211.2,223.69,-0.398245,0,ground
211.21,223.686,-0.405302,0,ground
211.233,223.679,-0.417274,0,ground
211.243,223.677,-0.420566,0,ground
211.254,223.678,-0.420473,0,ground
211.264,223.678,-0.422106,0,ground
211.274,223.678,-0.422874,0,ground
211.285,223.682,-0.414824,0,ground
211.306,223.678,-0.413414,0,ground
211.327,223.676,-0.419096,0,ground
211.349,223.669,-0.430624,0,ground
211.359,223.667,-0.434287,0,ground
211.391,223.659,-0.447044,0,ground
211.401,223.659,-0.449275,0,ground
211.412,223.66,-0.444503,0,ground
211.433,223.654,-0.44525,0,ground
211.444,223.655,-0.446595,0,ground
211.455,223.657,-0.445799,0,ground
211.465,223.659,-0.445648,0,ground
211.476,223.659,-0.446431,0,ground
211.486,223.665,-0.442078,0,ground
211.497,223.669,-0.440151,0,ground
211.507,223.665,-0.446026,0,ground
211.517,223.663,-0.449511,0,ground
211.538,223.659,-0.456709,0,ground
211.549,223.657,-0.460409,0,ground
211.559,223.657,-0.458062,0,ground
211.582,223.648,-0.469229,0,ground
211.593,223.647,-0.472076,0,ground
211.603,223.649,-0.472431,0,ground
211.613,223.651,-0.472056,0,ground
211.633,223.646,-0.480425,0,ground
211.643,223.646,-0.48217,0,ground
211.654,223.645,-0.484747,0,ground
211.665,223.645,-0.487052,0,ground
211.675,223.644,-0.489367,0,ground
211.685,223.644,-0.490787,0,ground
211.707,223.638,-0.500251,0,ground
211.718,223.636,-0.504324,0,ground
211.729,223.632,-0.509044,0,ground
211.739,223.633,-0.510323,0,ground
211.75,223.631,-0.514097,0,ground
211.762,223.629,-0.517706,0,ground
211.772,223.63,-0.518743,0,ground
211.783,223.63,-0.520162,0,ground
211.793,223.63,-0.52229,0,ground
211.814,223.623,-0.532057,0,ground
211.824,223.623,-0.534058,0,ground
211.835,223.624,-0.534428,0,ground
211.845,223.625,-0.535231,0,ground
211.855,223.626,-0.536555,0,ground
211.865,223.623,-0.540375,0,ground
211.875,223.623,-0.541857,0,ground
211.885,223.621,-0.54609,0,ground
211.895,223.619,-0.548929,0,ground
211.916,223.613,-0.557677,0,ground
211.927,223.611,-0.561506,0,ground
211.938,223.61,-0.563674,0,ground
211.949,223.608,-0.562405,0,ground
211.969,223.6,-0.571816,0,ground
211.979,223.597,-0.570726,0,ground
212.011,223.586,-0.572244,0,ground
212.032,223.579,-0.571964,0,ground
212.053,223.574,-0.580004,0,ground
212.074,223.569,-0.586945,0,ground
212.096,223.564,-0.594181,0,ground
212.106,223.562,-0.597699,0,ground
212.116,225.645,1.07879,0,ground
212.127,225.606,1.03239,0,ground
212.137,225.569,0.991795,0,ground
212.16,225.541,0.937587,0,ground
212.17,225.505,0.894524,0,ground
212.181,225.467,0.850112,0,ground
212.192,225.431,0.807923,0,ground
212.202,225.395,0.766755,0,ground
212.213,225.363,0.728154,0,ground
212.223,225.329,0.688309,0,ground
212.234,225.299,0.652476,0,ground
212.245,225.269,0.616814,0,ground
212.255,225.241,0.582892,0,ground
212.266,225.211,0.548767,0,ground
