time_s,altitude_m,velocity_mps,apogee_prediction_m,status
210.009,223.792,6.688820,0,ground
210.021,223.783,6.688820,0,ground
210.032,223.907,6.075451,0,ground
210.042,223.87,5.453177,0,ground
210.052,223.842,4.584102,0,ground
210.063,223.782,3.497233,0,ground
210.083,223.731,2.649475,0,ground
210.093,223.758,1.988224,0,ground
210.103,223.833,1.593315,0,ground
210.113,223.822,1.329320,0,ground
210.161,223.821,1.137355,0,ground
210.171,223.859,0.987622,0,ground
210.203,223.873,0.872245,0,ground
210.213,223.898,0.782252,0,ground
210.224,223.885,0.710641,0,ground
210.235,223.871,0.629703,0,ground
210.245,223.865,0.553645,0,ground
210.267,223.841,0.464458,0,ground
210.277,223.851,0.386190,0,ground
210.288,223.843,0.321595,0,ground
210.298,223.823,0.248203,0,ground
210.32,223.819,0.184699,0,ground
210.351,223.803,0.117598,0,ground
210.361,223.786,0.065260,0,ground
210.372,223.788,0.015883,0,ground
210.383,223.803,-0.027143,0,ground
210.393,223.793,-0.060703,0,ground
210.403,223.788,-0.087104,0,ground
210.413,223.777,-0.116135,0,ground
210.423,223.765,-0.138779,0,ground
210.434,223.77,-0.156441,0,ground
210.445,223.778,-0.173635,0,ground
210.455,223.775,-0.183828,0,ground
210.465,223.77,-0.191780,0,ground
210.476,223.774,-0.201198,0,ground
210.487,223.769,-0.208649,0,ground
210.497,223.768,-0.214791,0,ground
210.508,223.768,-0.219914,0,ground
210.518,223.758,-0.227538,0,ground
210.529,223.761,-0.233547,0,ground
210.539,223.759,-0.240690,0,ground
210.56,223.754,-0.244442,0,ground
210.571,223.749,-0.248722,0,ground
210.581,223.757,-0.252892,0,ground
210.592,223.754,-0.258981,0,ground
210.613,223.743,-0.264022,0,ground
210.623,223.746,-0.267953,0,ground
210.634,223.747,-0.271020,0,ground
210.644,223.747,-0.273412,0,ground
210.666,223.748,-0.275277,0,ground
210.677,223.746,-0.276782,0,ground
210.688,223.738,-0.281012,0,ground
210.709,223.731,-0.285364,0,ground
210.719,223.735,-0.288959,0,ground
210.729,223.733,-0.292471,0,ground
210.74,223.734,-0.295210,0,ground
210.75,223.731,-0.297404,0,ground
210.76,223.73,-0.299116,0,ground
210.772,223.728,-0.300452,0,ground
210.782,223.732,-0.301629,0,ground
210.792,223.734,-0.302176,0,ground
210.802,223.731,-0.301828,0,ground
210.812,223.735,-0.301556,0,ground
210.822,223.733,-0.302490,0,ground
210.843,223.729,-0.303823,0,ground
210.854,223.726,-0.304864,0,ground
210.864,223.726,-0.305875,0,ground
210.875,223.73,-0.307799,0,ground
210.885,223.73,-0.309352,0,ground
210.906,223.722,-0.312842,0,ground
210.916,223.722,-0.316025,0,ground
210.927,223.72,-0.319246,0,ground
